"ルールID","ルール名","レベル","重大度","違反時の減点幅"
"L1-01","ファイル形式チェック","1","FATAL","強制0点"
"L1-02","1シート1表チェック","1","FATAL","強制0点"
"L1-03","データ分断チェック","1","CRITICAL","-10"
"L1-04","データ範囲外情報チェック","1","MAJOR","-5"
"L1-05","列ヘッダーチェック","1","CRITICAL","-10"
"L1-06","体裁用スペース・改行チェック","1","CRITICAL","-10"
"L1-07","1セル1データチェック","1","CRITICAL","-10"
"L1-08","機種依存文字チェック","1","CRITICAL","-10"
"L1-09","空白・ゼロ区別チェック","1","MINOR","-2"
"L1-10","オブジェクトチェック","1","CRITICAL","-10"
"L1-11","書式依存データ区別チェック","1","CRITICAL","-10"
"L1-12","セル結合チェック","1","CRITICAL","-10"
"L1-13","非表示行・列チェック","1","CRITICAL","-10"
"L1-14","CSVデータ内改行チェック","1","FATAL","強制0点"
"L1-15","CSVクォーティングチェック","1","FATAL","強制0点"
"L2-01","数値データは数値属性とし、文字列を含まないこと","2","FATAL","強制0点"
"L2-02","データ内での項目名等の省略をしていないか","2","FATAL","強制0点"
"L2-03","各列が一意に識別可能な項目名を持っているか","2","FATAL","強制0点"
"L2-04","選択肢回答が標準化されているか","2","CRITICAL","-40"
"L2-05","選択肢列と「その他」の詳細記入が分離されているか","2","MAJOR","-30"
"L2-06","数式を使用している場合は、数値データに修正しているか","2","MAJOR","-30"
"L3-01","項目名行から始まり、次行からデータ入力がされているか","3","FATAL","強制0点"
"L3-02","回答のコード表が別添されているか","3","CRITICAL","-15"
"L3-03","特殊記号の定義を明記しているか","3","MAJOR","-10"
"L3-04","データの単位を記載しているか","3","MAJOR","-10"
"L3-05","時間軸の表記が標準化されているか","3","MAJOR","-10"
"L3-06","地域コード又は地域名称が表記されているか","3","CRITICAL","-15"
"L3-07","年によってフォーマットが著しく異なっていないか","3","CRITICAL","-15"
"L3-08","データの定義や更新履歴が記載されているか","3","MAJOR","-10"
"L3-09","データが縦持ち形式になっているか","3","MAJOR","-10"
